,total_string
766,play some grunge
767,Play some Sam Moore.
768,play Mikazuki Sunset
769,Play music on itunes from artist Jessica Delfino
770,open Deezer and search for Scott Miller and play some of his new songs
771,play Peja tunes
772,Play a Wendy Carlos song from 2002
773,Play a new song form the eighties
774,Play the track titled Faget
775,Play the top song by Jack Grisham
776,Please play Jag Vill Leva I Europa by porta
777,Want to hear a chant by Nellie Mckay from the year 2008
778,Play the top-ten chant Doda songs from the twenties.
779,Play sound track  music from the twenties
780,Play some Carmen Mcrae from Ed Robertson off of Itunes
781,play a song by Fats Waller
782,I'd like to listen to Diana Vickers best tune from the twenties
783,Can you play any chant from the fourties?
784,Play some music by Daniel Carter
785,Play twenties on Groove Shark
786,Play twenties symphony from Robert Walter
787,Can you play a sonata
788,Let's listen to the most popular Marty Friedman songs on Zvooq.
789,Play an album from the fourties
790,Play me a Xuefei Yang symphony on Groove Shark
791,play soem nineties Charles Thompson
792,Play some dance music
793,Let's hear some tunes from the thirties.
794,Play the seventies album on last fm
795,Play music from Lastfm and Deezer.
796,play Te Para Tres
797,Play artist stu davis from the album Dub Chamber 3 on Netflix
798,Play music by Ian Haugland
799,Play some Drum & Bass
800,play a symphonic rock on Pandora
801,Play the last theme by Behzad Mirkhani.
802,Open Netflix and play David Frizzell
803,"Can you play Crossover?
"
804,Plya a tune by Kancherla Gopanna from 1951 on Zvooq
805,Play some fourties music on Spotify.
806,play the album Everybody Happy by Lee Aaron
807,Play the theme music from 1963 by Yuki Koyanagi
808,play Groove Shark folk-rock
809,play the album How Insensitive
810,play some Classical music on Spotify
811,Play Used To Love Her by Dara.
812,Play me a twenties tune on Deezer
813,play music by Cass Elliot
814,Play concerto from the eighties
815,Play On My Own
816,Play Nick Hexum latest album
817,Play me a twenties song
818,play a ballad from 2000
819,Play the sound track by Ferry Corsten
820,Play a 2009 concerto on Deezer.
821,Play me some Max Martin on Lastfm
822,play some Sia Furler on Last Fm
823,Play the thirties soundtrack by ghader abdollahzadeh on Youtube
824,play Say A Word by La India
825,Play me a fifties song by Chingy
826,Play music from Paul Landers
827,Play Taiwan Is Good by Kotoko.
828,I'm in the mood to listen to meditative music.
829,Play Hughie Graham by Vidyadhar Vyas
830,Give me an album from 1972 to listen to.
831,Play some 1962 theme music.
832,Play Noctambulo playlist
833,Play Annet Artani soundtrack on Slacker
834,play the track The Wizard And I
835,Play Crossroad Blues.
836,Play some amber kuo from the eighties on Spotify.
837,I need to hear some music from Spotify
838,Play some sister rosetta tharpe songs from the eighties
839,Play on spotify Ms Scandalous
840,Play a twenties tune by Jodie Aysha.
841,play Addicted To You by Hank Ballard
842,Play Tooh by Eric Bazilian on Google Music.
843,Play music by Keren Woodward
844,Play music by Paulinho Da Viola from 1965
845,Play Sergei Anatoljewitsch Kurjochin's music on Groove Shark.
846,Play the song Little Robin Redbreast
847,Play music from the artist Irma Pane
848,Play an Andy Silvester sound track from the thirties on Spotify
849,Play the music of Tupac Shakur
850,Play anything from the top-50 Jeff Irwin record off of itunes
851,Play Tina Cousins from 1956
852,Play the music genre Synthpop
853,Play me songs from 1955
854,Use itunes to play dancing playlist
855,Play movement music by Monk Boudreaux on youtube
856,Play the best Bruce Ruffin music on Youtube.
857,Play some showtunes music.
858,play music from 2014
859,play There Must Be More To Life Than This
860,Play Suite Sudarmoricaine by Afi on itunes
861,play the top-twenty margaret becker songs with google music
862,Play the new music from Wilko Johnson
863,play Iheart tunes by Neil Finn
864,Play some music on Slacker
865,Play the album Shooting Silvio by Dave Sabo
866,I want to hear music from carman from the 1966 album
867,Play my Fusion Fest playlist on Youtube
868,Play 2004 Guy Sebastian on Itunes
869,Play Vic Ruggiero music from 2007
870,Play All The Way My Savior Leads Me on Spotify
871,Play some nineties music on Pandora
872,Play fifties music
873,Play some nineties Eliza Carthy
874,I want to hear sia furler's popular songs on Last Fm
875,Play Seaside by Don Cherry.
876,Play record from the seventies
877,Play any chant from 1973
878,play top tunes by Joseph Utsler
879,play southern rock tunes
880,Play me some music youtube
881,play Iheart
882,Play Igor Nikolayev music from the fourties
883,Please play songs by Lil Jon
884,play Victoria Banks's album
885,play a song by Busta Rhymes
886,Play the album Resurrection In Blood from Sleepy Brown on Itunes.
887,Play fifties music by Ahmed Abdul Malik
888,Play the greatest record by Joe Purdy on Google Music
889,play some latin on Zvooq
890,I want to hear the top 5 Jamie Lidell songs
891,I want to hear gothic rock on Lastfm
892,Play iheart
893,play Wolves by Larry Gatlin
894,Play That Stubborn Kinda Fellow by Michael Amott
895,play Long Way To Go by Keita Tachibana
896,Play the most popular ep by marcel khalife on Netflix
897,Play album from Maureen Mcgovern
898,Play music on Deezer.
899,Play music from 2000 on spotify
900,Play the newest Phil Stacey.
901,Play music on Last Fm
902,I'd like to listen to opera on Youtube
903,Play Listen To The Mocking Bird by Billy Martin on Youtube
904,Can you play me something from the eighties on Youtube
905,Play Spotify
906,Play the top-fifty theme songs by Dennis Brown.
907,Play a popular chant by Brian Epstein
908,Play a chant from 1978.
909,Play a song off the Nicht Sprechen album
910,play Netflix ballad by Mike Shinoda that is popular
911,play Isaac Yamma Slut
912,play Joey Fatone soundtrack tunes from Google Music from 1972
913,Play music on pandora
914,Play a record from 1950.
915,I want to the latest ballad from Ira Losco
916,Play music from 1958.
917,Can you play a 1967 soundtrack on Slacker
918,Play the last Wellman Braud album relaesd 
919,play fifties movement songs by Fabio on Last Fm
920,Play my Under The Surface playlist.
921,play deezer top 20 by Natasja
922,play a ballad by Bob Johnston
923,Play the latest Joan Baez.
924,Play the album Qr Iii by bobby bare
925,Play Les Pauvres Riches by Pan Mei Chen.
926,Play some 1987 Edie Brickell.
927,Play my Jazz Brasileiro playlist
928,I'd like to hear Cry Baby Cry by Ally Kerr.
929,play a top-twenty tune by Noor Jehan
930,Open Itunes and play Bad Attitude
931,Do you have something like Impossible Is Nothing by Abderrahmane Abdelli?
932,"Play music from jeremy taylor on the album Dormi Amore, La Situazione Non E Buona on Groove Shark"
933,play caitlin cary from the fourties
934,Play some gothic rock.
935,Play some fast fusion on Spotify
936,Play The God That Failed on Vimeo.
937,Open up music on Last Fm.
938,Play some David Mallett on last fm
939,play playlist A Mis Ninos de 30
940,Play This Is: Animal Collective please
941,play the latest melody from Cliff Edwards on Deezer
942,play any sixties song
943,Play a top-ten chant by Kelly Groucutt from 1964
944,Play Intense Studying playlist on Itunes.
945,Play some Mf Doom from the sixties on pandora.
946,"Can you play a song off the album, jungle"
947,play a theme from 1985 by Patrick Cowley
948,play songs by Gamble Rogers
949,I want to hear theme songs from zeebra from the sixties on Slacker
950,Play a tune by Layne Staley
951,play music by Amii Stewart with Itunes
952,Play Tanti Auguri A Te from Bruce Gilbert
953,I want to listen to nineties chant songs
954,Play some Paulinho Da Viola from 1965.
955,"I want to listen to an album sorted by last, open Google Music and play Paulinho Da Viola."
956,"play the greatest james yorkston song
"
957,I want to hear the Live At Slane Castle album by Haifa Wehbe
958,Play symphony music from Joe Dolce
959,play some twenties movement tunes from the last Olga Souza
960,play Dick Marx
961,play The Song Remains The Same with Pandora
962,Play the newest chant by John Doyle on Zvooq
963,Play Anweshaa by the new first.
964,Can you play some Andrew Cash music on Slacker
965,Play top-50 eighties theme from Alain Caron
966,Play me a song from 2008
967,I want to hear music on Itunes
968,Play fourties soundtrack from Hamish Maccunn
969,Play fifties music on Deezer
970,Play a Loretta Lynn tune on Groove Shark
971,Play sugar baby by frank beard
972,Play a song on zvooq
973,Play Divine from Vinnie Roslin
974,Play something by grandmaster flash & the furious five on youtube
975,Play the greatest Nicholaus Arson concerto from around 2000
976,play No More Sorrow
977,play something from the twenties on Lastfm
978,play the album Sauna on Zvooq
979,Play something on my Classic Jazz Funk playlist on Zvooq
980,Play track Cabbage by Keiji Haino
981,Play some music by beverley martyn
982,Play me a concerto by Jethro Burns from Zvooq
983,"Play Liubi, Liubi, I Love You by Farah Asyikin Binti Zulkifli on Netflix"
984,Use Last Fm to play artist Kawabata Makoto from their record
985,Play me some folklore music
986,play Paula Campbell music from 1993
987,Play playlist Chilled R&B
988,Play some fifties music by Chris Brown.
989,Play music on Groove Shark.
990,Play the Busco Un Pueblo album
991,Play a record by Black Wall Street Records
992,Play my Hot 50 playlist.
993,Play me a Jill Scott sound track on deezer
994,Can you play a top song from a chyi chin concerto
995,Play a song from 2003
996,Play some art punk.
997,Can I hear tod ashley music from 1953?
998,Play the song Waar Is De Zon on Slacker
999,Play music which has humour on Youtube.
1000,Play me the most popular Arthur Johnston song
1001,Please play an album from 1987
1002,play Tonight Only! by Nastya Kamenskih
1003,Play songs by Naomi Schemer
1004,play Slacker tunes by Smog from movement in 2015
1005,Play me Sun Ra songs from the fifties
1006,Play the top fifty soundtrack from the twenties.
1007,Play music by Don Cherry.
1008,Play Night Electric Night on Iheart
1009,Play the album Killer Instinkt
1010,I want to hear the latest twenties album from Kyle Riabko
1011,Can you play that last ep from the twenties
1012,play David Banner on Netflix
1013,Play some Maynard James Keenan songs from Scenes From The Big Chair
1014,Sort eighties ep from the last
1015,Play a top five Jonny Buckland symphony from around 1989
1016,play Spotify
1017,Can you play some eighties music
1018,I want to hear music by Madeleine Peyroux from 1991 on Youtube.
1019,play good music by General Woo on Deezer
1020,Play my Hype playlist on Youtube.
1021,play some seventies Dj Colette
1022,play music from 1950
1023,Play music from 2012 on google music
1024,Play me the greatest Howard Levy song
1025,Play playlist riveting 
1026,I want to hear a top five ballad from 2002
1027,i wanna listen to a the top-twenty track of Denniz Pop in Pandora
1028,play a movement from top-20 1983 by Baruch Chait
1029,Play my springtime playlist.
1030,I want to hear that tune from 2010
1031,Play Zvooq
1032,Play the album 21st Century Live by Chet Lam on Itunes.
1033,Can you play music from 2003 on Netflix
1034,Play a native us song on Last Fm
1035,play my De Camino playlist
1036,Play my Trapeo playlist.
1037,Play some new age music
1038,I want to hear any top five music from Gene Autry
1039,play music by Vybz Kartel
1040,Can I hear the latest music from Bahar Kizil?
1041,play the top-twenty tune by Masaharu Fukuyama on Slacker
1042,Play Humour
1043,Play movement music from 1954
1044,I want to hear the Fear The Boom And Bust song from haruka shimotsuki off of Spotify
1045,I'd like to hear songs from Iheart
1046,in Google Music play the top singles released in 1972
1047,Play the greatest 1966 album out there
1048,I want to hear symphony songs from Rebecca Cartwright on Last Fm
1049,"Play 1958 music
"
1050,play classic rock on Slacker
1051,PLpay the top ten track from Asia Nitollano on spotify.
1052,Play the top-twenty from Alexander Braginsky.
1053,I'd like to listen to iheart radio's chill out playlist please.
1054,Play a melody by avery storm.
1055,Play the top 10 by Sankha Chatterjee.
1056,Play music by Nick La Rocca
1057,Play my funtime playlist on lastfm .
1058,Play the track That Would Be Something from Eden Ahbez
1059,listen to tei movement from most popular eighties music
1060,Play most popular from Nil Burak on Slacker
1061,Play the most popular 1956 record.
1062,Play a 1950 album on Iheart
1063,Will you play my Nuestros 80 playlist
1064,Play Dave Mason's soundtrack on Last Fm.
1065,play some Annie Herring beat street on itunes
1066,Open Netflix and play Kan Man Gifta Sig I Jeans?
1067,Play some music on Vimeo.
1068,Play the track Siberian Khatru on zvooq
1069,play some Folk tunes
1070,Play a 1978 track on Slacker
1071,Play some music by Mutlu
1072,Play Dj Scratch's eighties music on Iheart.
1073,Play The Cross And The Crucible by Angela Au Man Sze on Google Music
1074,Play some happy gabber.
1075,I want to hear some psychedelic rock
1076,Play the soundtrack that Tom Bellamy contributed to
1077,I want to hear Steven Harwell from the thirties
1078,play music from the twenties with Slacker
1079,Play 1958 by wayne petti
1080,Play something from 1985 by Billy Werner
1081,Play me a 1958 adam yauch concerto on Groove Shark
1082,Play prints in the stone by Helen Baylor
1083,play the last 1957 movement
1084,Play the most popular Grace Slick song that has a symphony sound
1085,I want to hear some acid punk music
1086,Play some music from Miss Platnum
1087,play Christina Milian latest music
1088,Play music from the seventies
1089,play a 2006 chant
1090,Play some Mike Burney on Google Music.
1091,Play a melody from Leigh Nash using Lastfm
1092,Play me an eighties song by Wes Dakus
1093,Play Post Garage Wave Revival playlist.
1094,Play Richard Fortus' Live Collection.
1095,play some dance on Groove Shark
1096,play the most popular album on Google Music by sasu ripatti
1097,I want to hear any tune from the twenties
1098,Play Jono El Grande from the thirties
1099,Play blues on Vimeo
1100,Play some fourties music on Zvooq
1101,play Wanted by Erykah Badu
1102,Play some Christian Rock
1103,Play some Retro music.
1104,Play some music from the twenties.
1105,Play Mea Culpa by Rahim Shah
1106,Play Acid Punk music.
1107,Play Funky Heavy Bluesy
1108,Play me a song from 1972 by Sweet Emma Barrett
1109,Play The Birds And The Bees by Ceca.
1110,play me music by Whip with Zvooq
1111,Play me a song by Teitur Lassen on Groove Shark
1112,Play the latest ep by Joel Hastings on Itunes.
1113,Play Rap Album One by Gene Vincent.
1114,Play the last ep from 1999
1115,I'd like to hear Don Airey's Gonna Raise Hell
1116,Can you play some music by andrew diamond
1117,I want to hear Nokko's songs from the twenties
1118,Play thirties concerto music on Google Music
1119,play Netflix tunes from 2003 on an album
1120,Play cheerful playlist
1121,play some Kansas Joe Mccoy
1122,Play some theme songs from the fourties
1123,Play some folk-rock music
1124,Play the latest 1973 album by Peter Derose.
1125,Play some Sabah from the eighties
1126,Play the greatest soundtrack by Jesse Harms.
1127,Use the service Zvooq to play merengue music
1128,Can you play some music on Youtube
1129,Play a sound track from 1952.
1130,Play a song of I Myself And Me on Youtube
1131,Can you play me the latest theme song by Warren Vache
1132,play Sivamani
1133,Can you play the greatest sarah brightman song
1134,Play Techno on Lastfm
1135,play new music by Elmore James with google music
1136,play the song Shine A Light
1137,Play music on Spotify.
1138,Play me a song by Avispa Music from 1965
1139,Play the top twenty chant by Wise.
1140,Please play Jim Martin on Vimeo.
1141,play ep by Arjen Anthony Lucassen
1142,Play my exitos Espana playlist
1143,play zvooq Southern Gothic
1144,I want to hear a Joel Hastings melody. 
1145,play a Morton Downey record with Slacker
1146,play Frankie Laine
1147,Play my Frescura Indie playlist 
1148,play the top five songs by Gad Elbaz
1149,Use Youtube to play music from Dorothy Ashby from the year 2002
1150,Play some alternative music on Vimeo
1151,play Chance Of A Lifetime on Zvooq
1152,Play some chant music from 2008.
1153,play Fill Yourself With Music by Ray Manzarek
1154,Play Contigo En La Distancia
1155,play some dream music
1156,I want to hear music on my Slacker app
1157,play an eighties song by Ler Lalonde
1158,Play the next ep by Video Game Pianist on netflix
1159,Play a music theme by Anna Nikolajewna Jessipowa
1160,I want to play music off Deezer
1161,Play some chanson music.
1162,Play my Trabajo Relax playlist
1163,Play the latest music by Martin Luther Mccoy
1164,I want to hear some twenties music from Billy Sheehan
1165,Play some songs from 1958
1166,Play some Don Ho on Netflix
1167,play a new soundtrack by Benjamin Darvill on Groove Shark
1168,Play some music on Slacker
1169,play the top twenty tracks of Ron Jarzombek
1170,Play the Late Night Jazz soundtrack on Zvooq.
1171,Play me a tune by john clayton
1172,I want to hear some music from Spotify
1173,Open Deezer and play Inyeccion Musical
1174,can you play some weird music from the noise genre
1175,Play Russell Morris's The Singer And The Song on Netflix.
1176,Play Larry Graham sound track
1177,Play my Women of Rock playlist.
1178,play Roland Alphonso tunes that are most popular
1179,Play Ramakadha by Karl Davydov please
1180,Can you play a sound track from 1963?
1181,Play a tune by Mc Hawking
1182,Would you please play me a symphony from 1995
1183,play Google Music tunes
1184,Play a melody by Shada Hassoun
1185,play the Ocelot record using Zvooq
1186,Open Lastfm and start playing whatever
1187,Play a 1958 soundtrack by Rudolf Schenker on Netflix.
1188,Lets hear some Dawood Sarkhosh from their The Power Of Your Love album from Groove Shark
1189,Play a popular ballad by Amanda
1190,Play While We Were Waiting by Sippie Wallace on Vimeo
1191,Play andrew lloyd webber's good tune on zvooq.
1192,Please play something on Last Fm
1193,play 1960 chant music by Hermann Baumann
1194,"play Bill Evans album The Best Of The 12"" Mixes"
1195,Play play Lodge by Alkabli on lastfm .
1196,play a sixties song by George Sanger
1197,Play Deezer
1198,Play a melody from the nineties on Google Music
1199,Play Still Life 1 
1200,Play a song by Alasdair Roberts from 1996
1201,Play the album Axum
1202,I want to hear the Jody Williams sound track
1203,Play Ik Hou Van Jou by Elena Temnikova
1204,play some Stephen Jones on Youtube
1205,Play the most popular Johnny Clarke on Deezer.
1206,Play some tango.
1207,Play Eddie Meduza from the thirties
1208,play satire music
1209,I'd like to hear one of Eric Clapton's most popular melody on Pandora.
1210,Please play a song by Ahmad Jamal
1211,play Vivian Stanshall from 1962
1212,Play a nineties tune by Sugar Minott on Netflix
1213,Play music from 1977
1214,Play some music by Frayser Boy.
1215,Use Itunes to play a soundtrack from the year 1954
1216,play Deezer tunes Are & Be
1217,Please play a song off the Curtis Lee album Rough Diamonds
1218,play a chant by Mike Jones
1219,Play me a Patrick Cowley ballad
1220,Play Elastic Love by Junior Marvin
1221,Play some music from 2011 on lastfm 
1222,Play These Four Walls by Yummy Bingham.
1223,Can you play something from 1966 by Mc Ren on Spotify
1224,play the album by Paul Barker playing the greatest from 1978
1225,Can I listen to Dj Vibe's top 10?
1226,play a concerto from sam sparro
1227,Lets hear some booty bass
1228,Play me a 1974 tune on Slacker
1229,Play a top five Linda Strawberry ep
1230,Play Henrie Mutuku album from 1957
1231,Play the newest ballad from Chad Urmston
1232,play some 2002 music
1233,I want to hear that track from 1991
1234,Play me a Chris Needham song on Vimeo
1235,Play some House music
1236,play Piano Ballads on Netflix
1237,Play me some Goa
1238,Play slow rock music on Vimeo
1239,Play Murder The Mountains by Mana on Netflix
1240,Play the top five melody from 2000
1241,play Courting The Squall on Slacker
1242,Play a ballad from 1997.
1243,Play symphony by Josh Gracin on Slacker.
1244,I want to hear a symphony from Kano
1245,Play a song off Ian Stuart Donaldson's Nature Nurture album on Itunes
1246,play Joshua Homme Belle And Sebastian Write About Love
1247,Play theme music from the twenties by Tata Young
1248,Can you play a song off an album by Shirley Horn
1249,play top-twenty song from 2015
1250,Play music from 1976 on Deezer
1251,Play the greatest from Win Stracke on Groove Shark.
1252,I want to hear something by Joe Dolce on Google Music
1253,Play me a popular song by Koichi Domoto
1254,Play Saturday Nights & Sunday Mornings
1255,Play the album Have Another Ball
1256,Play music from Clark Kent in the year 1987
1257,Play Seasons In The Sun by Rosco Gordon on iheart
1258,play some Origa on Google Music
1259,Play Brian Clifton off Groove Shark.
1260,play Neutrons  by Seun Kuti
1261,Play some music from 1985 by Rolf Harris
1262,Play the album Will Rap Over Hard Rock For Food
1263,Play Donna Summer
1264,Please use pandora to play a record from 1993
1265,Play a record from the year 1979
1266,play playlist The Realest Down South
1267,Play some steve boyett chant music
1268,play a track from 2004
1269,play Vimeo 2009 by Desmond Dekker
1270,Play music by Raheem Devaughn.
1271,Play some 1999 symphony from Minami Takahashi
1272,Use Groove Shark to play the Today And Tomorrow album
1273,Play some Mark Tremonti from the thirties.
1274,play the greatest 1972 album by Wes Dakus
1275,Play a 2013 song on Groove Shark
1276,Play some theme songs from 1974
1277,Play the top caleigh peters.
1278,Play new Teo Macero
1279,play a Karin Dreijer Andersson soundtrack on Groove Shark
1280,Play my Mellow Beats playlist please
1281,Play me the greatest track of 1966
1282,Play me a Frank Farian ep
1283,Play music from Art Porter Junior movie sound track using Vimeo
1284,Play a theme from Walerij Leontjew
1285,I want to listen to Merrily We Roll Along by Marko Desantis.
1286,play Asia Nitollano using itunes
1287,Play top Martin Solveig on deezer
1288,Play any song from Rebecca Hewitt
1289,Play the Mister Music Man by Gene De Paul.
1290,"Let me hear the top album by the artist, Skin."
1291,Play Harel Skaat
1292,Play some John Oates on Youtube.
1293,Play me an ep from 2005.
1294,Please play me a top nineties theme song
1295,play the track Asleep In The Deep
1296,Can you play a melody from the fifties on Last Fm?
1297,play some Deezer oldies music
1298,Play my Masters of Metal playlist on Spotify
1299,play Are & Be
1300,Plays some akb48 on Youtube
1301,Play music from the track My Friend on Google Music by Steve Sholes
1302,Play teri meri by Josh White
1303,play some Nastya Kamenskih on Zvooq
1304,play a 1999 track by Pete Seeger on Youtube
1305,use Lastfm to play Attack Of The Planet Smashers
1306,Play Shinehead's music from the twenties on Slacker.
1307,Play the last sound track by Soko from around 1975
1308,Play 1958 music on Iheart
1309,play Isham Jones
1310,Can you play me some britpop music
1311,Play a song from 1973.
1312,turn on Last Fm to listen to Chara ballad from 1988
1313,Please play music off the soundtrack by Beau Jocque
1314,Play a new song from 1976.
1315,Play the greatest melody from Paul Wright on Pandora
1316,Play Eternally by Marko Desantis on zvooq.
1317,Play The Galway Races on Netflix.
1318,play Pandora tunes from the fourties
1319,Play top-50 Peter Frampton songs
1320,Play music off Itunes.
1321,Play me a song from 2016
1322,Start playing something off Spotify
1323,play Tom Baxter tracks
1324,Play music on the playlist Urban Hits
1325,Play The Monkeys Have No Tails In Zamboanga on Google Music.
1326,I want to hear music from 1975
1327,Play Kim Wilde by Mike Scott on Slacker
1328,Play anything  from Hiromitsu Agatsuma off iHeart.
1329,play a top-fifty 1965 album by Ski
1330,Play  music from the thirties.
1331,Play me the new King Curtis music on Google Music.
1332,Ply best 1973 sound track
1333,Play music by Daddy Yankee
1334,I would like to hear music from 1993
1335,"Play me track September, Gouden Roos by artist daedelus"
1336,Play a concerto from the nineties
1337,I want to hear Major Harris's songs from the fifties
1338,Play me a nineties ep
1339,Please anything good by Chieko Ochi
1340,Play Kk on Zvooq.
1341,Play Apbl98 by Alden Penner.
1342,Use Vimeo to play a Mark King record from 1993
1343,use Deezer to play music by Junior Brown
1344,Play some Erin Harkes from the fifties on Lastfm.
1345,Play Verjamem track by Hong Junyang.
1346,Play music by Otis Redding.
1347,Please play some music for me on Netflix
1348,Play Tad Kinchla soundtrack
1349,Play Kisaki on Pandora
1350,Can you play a song from the fourties by George Martin
1351,Play me a song by Saki Nakajima
1352,Play some 1970 Antero Manninen on zvooq.
1353,Play a top track by Janamanchi Seshadri Sarma
1354,Use Itunes to play artist Ringo Shiina track In Heaven
1355,Play music by Sha Money Xl sort by good.
1356,I want to listen to the album going back to the blue ridge mountains on iheart
1357,Play Someday Soon by fiona
1358,Play the most popular sound track from the 2006
1359,Play tuomas holopainen's The 21 Project.
1360,Play Tenerife Sea by Daniel Salomon on Lastfm
1361,Play a top twenty sort by Akinyele.
1362,Play nineties
1363,Play a track by Ishmon Bracey on Iheart.
1364,Can you play the latest faust soundtrack from 1967?
1365,Play me the greatest chant by Laurel Aitken on lastfm 
1366,Play the most popular Coti songs on Pandora
1367,Play some noise music on Netflix.
1368,Play Rob Mills album The Golden Archipelago.
1369,play melody music from the thirties
1370,Play some tune from 2011 on Youtube
1371,play melody and sort the newest in Dj Format
1372,Play a record from 2010.
1373,Play a melody by Adassa from the twenties
1374,play 1988 chant music on Itunes
1375,play Glenn Yarbrough tunes
1376,Play Llegando a Casa playlist
1377,Play me a tune by Mick Brown
1378,play The Insoc Ep
1379,Play some music from the sixties
1380,I need to hear the new Kevin Fowler album
1381,Play me the newest fourties symphony
1382,play Latin Dinner
1383,Play Stefon Harris's song.
1384,Play a song from 2013.
1385,play 1951 tunes
1386,Play Step Up Your Game by Marc Cohn.
1387,Play any nineties music
1388,Play the greatest ballad from the seventies
1389,Play a track by Yui on Vimeo
1390,Play the top five songs from Robert Lockwood Junior.
1391,Play some latin music.
1392,Plkay some sixties movement songs from Itunes
1393,Play me Hier Encore by greydon square
1394,play In Your Eyes by gareth gates on Netflix
1395,Play some music on Itunes
1396,Play Dj Shadow's A Love Hate Masquerade.
1397,play Seven Steps To Heaven by Wikluh Sky
1398,Play some music from Victor Kunonga.
1399,play fourties chant music on Last Fm
1400,Play some 1959 songs on Iheart
1401,Play March Of The Soviet Tankmen from Gloria Gaither
1402,Play music from the album Evolution Of A Man by Joey Ramone
1403,Can you play fifties theme music by Mohsen Chavoshi
1404,play the album Pressure Cracks with Netflix
1405,Play the best Sebastian Karlsson melody on Youtube
1406,Play some Oleg Anofriyev from 1960.
1407,Play some Joeri Basjmet.
1408,Play Elliot Easton's album Beautiful
1409,use Vimeo to play De Camino a Clase playlist
1410,Please play playlist TODO REGGAETON
1411,Play me some Badass Women on Groove Shark
1412,Play some Antony Harding songs from the eighties
1413,I want to hear a nineties track by stat quo on Deezer
1414,Play music from the seventies
1415,play The New Timer by Augustus Pablo with Itunes
1416,Play How Does It Work by Helen Carter.
1417,Play music from 1968 on Vimeo.
1418,I want to hear something from Post-punk Revival
1419,Play music from the artist Joe Sample
1420,Play Dave Joyal
1421,Open groove shark and play Jason Mizell
1422,I want to hear something from the top-fifty by Jose Pasillas
1423,Use service Vimeo the genre slow rock
1424,Open Zvooq and play the best songs from Device
1425,play something from 1971 by John Bonham
1426,play primus 
1427,Play symphony music from 1991 by Irvin Mayfield
1428,play Going Down To The River on Pandora
1429,play 1977 good track tunes
1430,Play the album Jack Takes The Floor by Tom Lehrer on netflix
1431,Use Netflix to play music
1432,play Sunshine Reggae on youtube
1433,play Realization by Randy Jackson
1434,Please play some Bill Evans music.
1435,play Safe Rock And Roll Sucks on Lastfm
1436,Can you play the greatest songs by Mauro Picotto
1437,Play music by Deenanath Mangeshkar
1438,Play the best sort by Jan Robbe on pandora
1439,Play track Real Talk
1440,Use Netflix to play In The Arms Of A Woman playlist
1441,Play some 1993 concerto off of Slacker
1442,Open Spotify and play a song from the twenties by Richard Harvey
1443,listen to Vertexguy track
1444,Play the most popular stuff by Tina Dico
1445,Play any song from 2006
1446,Play some Sonu Niigaam from the fifties
1447,Play a 1983 ballad on Groove Shark.
1448,Play the artist Tei last concert on Netflix
1449,play 1981 tunes by Jiles Perry Richardson on Lastfm for theme music
1450,Can you play some music from my road trip album
1451,Play me a song from the fourties movement
1452,play pandora
1453,"Play Oj, Jelena, Jelena, Jabuka Zelena by Ler Lalonde."
1454,Play a new ballad by Valy on Iheart
1455,Play Grabsteinland I by Doctor Fink on slacker radio
1456,I want to hear Rock Bottom by Playa Fly on Slacker
1457,Play an Alla Pougatcheva ballad on Pandora
1458,Play Pledge by Markus Grosskopf
1459,Play music from 1999
1460,Play classic rock on Groove Shark
1461,I wish to listen to good symphony music by mi lu bing.
1462,I wish to listen to some fifties music.
1463,Play some James Cleveland.
1464,Can you play some Synthpop music on Youtube
1465,play the album Wayning Moments by Rabbit Brown
1466,Can you play a Sammy Fain ep
1467,Use Groove Shark to play music from the eighties
1468,Play a 2001 sound track on Deezer.
1469,Play the top movement music from 1997.
1470,Play a popular melody by Lindsay Lohan on Youtube.
1471,play chant music by David Cook
1472,Play music off Youtube.
1473,play some Mike Porcaro
1474,I want to hear something off Fist For Fight by Rushton Moreve on Youtube
1475,Play the playlist Tropical Morning on Pandora
1476,Play music from Hide
1477,Play top-five concerto music from 1992
1478,I want to hear something eclectic
1479,Play me a Felix Kubin from No Light on Spotify
1480,Play me a track by Steve Souza
1481,play Itunes album mondovisione
1482,play Punk Essentials on Zvooq
1483,Play me a song by Hank Thompson from Moa Anbessa
1484,Use Spotify to play music
1485,Play Me Against The World from Glukoza
1486,Play some music from 1962 from Adeyto
1487,"I want to hear Jimmy James from the thirties, play a song on Groove Shark."
1488,Play any song from the eighties
1489,Play some movement music by Perez Prado on Iheart
1490,play Ebony Bones on Itunes
1491,play Innovations by Kokia
1492,I Need rave Slacker to play
1493,play Fernando Olvera
1494,Can you play something off Johan Larsson's Travelers And Thieves
1495,list to the most popular Muireann Nic Amhlaoibh song
1496,Open my music playlist on Youtube
1497,Play the top chant music from 2014.
1498,Play music from Lastfm.
1499,Play me a 1990 sound track
1500,Play the song Long Live Love
1501,Play me a ballad by Dres on groove shark
1502,Play the top of emil de cou
1503,play Barry Manilow from the twenties
1504,Play a seventies Tom Thacker ballad
1505,listen to ballad songs from the twenties
1506,Play the music of melody of 1997 in Itunes
1507,Can you play a chant by Butch Trucks on Spotify
1508,I want to hear music off my Indie Festival playlist
1509,Play instrumental pop
1510,Play some Hong Junyang.
